Districts,factory_count,running_count,eco_count,fully_auto_count,closure_count,operational_rate,eco_share,closure_rate,population_2011,factories_per_100k,modern_per_100k,pop_norm,modern_norm,gap_score,households_2011_x,factories_per_1000_hh,modern_per_1000_hh,households_2011_y,households_2011,gap_score_hh,score_demand,score_competition,score_modern_gap,score_eco_gap,score_stability,score_raw_material,composite_score,temp_score
Adilabad,3,2,3,0,1,66.7,100.0,33.3,708972,0.42,0.0,0.0702849849196206,0.0,0.07,170234,0.018,0.0,170234,170234,0.067,0.067,0.909,1.0,0.0,0.445,0.3,0.473,0.4997
Bhadradri Kothagudem,10,9,9,0,1,90.0,90.0,10.0,1068457,0.94,0.0,0.1431403831117585,0.0,0.143,261445,0.038,0.0,261445,261445,0.14,0.14,0.779,1.0,0.1,0.833,0.3,0.519,0.5371
Hanumakonda,22,19,19,2,3,86.4,86.4,13.6,793418,2.77,0.25,0.0873993205823973,0.4166666666666667,0.051,196876,0.112,0.01,196876,196876,0.053,0.088,0.299,0.6,0.136,0.773,0.3,0.33,0.3483
Hyderabad,30,28,26,13,2,93.3,86.7,6.7,3943323,0.76,0.33,0.7257780652933206,0.55,0.327,1005646,0.03,0.013,1005646,1005646,0.351,0.732,0.831,0.48,0.133,0.888,0.3,0.584,0.5707
Jagtial,10,8,6,0,2,80.0,60.0,20.0,983414,1.02,0.0,0.1259050558284115,0.0,0.126,238891,0.042,0.0,238891,238891,0.122,0.122,0.753,1.0,0.4,0.667,1.0,0.608,0.6817
Jangaon,14,13,11,1,1,92.9,78.6,7.1,620278,2.26,0.16,0.0523097239567056,0.2666666666666666,0.038,151285,0.093,0.007,151285,151285,0.037,0.052,0.422,0.72,0.214,0.882,0.3,0.392,0.4084
Jayashankar Bhupalpally,7,4,6,1,3,57.1,85.7,42.9,596040,1.17,0.17,0.0473975046947586,0.2833333333333334,0.034,142698,0.049,0.007,142698,142698,0.032,0.045,0.708,0.72,0.143,0.285,0.3,0.377,0.3973999999999999
Jogulamba Gadwal,6,4,4,2,2,66.7,66.7,33.3,638840,0.94,0.31,0.0560716108260951,0.5166666666666667,0.027,153087,0.039,0.013,153087,153087,0.026,0.053,0.773,0.48,0.333,0.445,0.3,0.388,0.39899999999999997
Kamareddy,1,1,0,0,0,100.0,0.0,0.0,972625,0.1,0.0,0.123718492018809,0.0,0.124,234109,0.004,0.0,234109,234109,0.118,0.118,1.0,1.0,1.0,1.0,0.3,0.71,0.6836
Karimnagar,20,20,10,3,0,100.0,50.0,0.0,1097753,1.82,0.27,0.1490776871590397,0.45,0.082,269482,0.074,0.011,269482,269482,0.082,0.146,0.545,0.56,0.5,1.0,1.0,0.533,0.6002000000000001
Khammam,11,8,11,1,3,72.7,100.0,27.3,1401639,0.78,0.07,0.2106650566877155,0.1166666666666666,0.186,345231,0.032,0.003,345231,345231,0.181,0.206,0.818,0.88,0.0,0.545,0.3,0.476,0.4953
