Districts,Location,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status,has_website,has_contact,is_eco,is_operational,modernization_score,size_score,is_high_risk,competitor_tier
Medak,"Ambjipet, Shankarampet (R), Medak, Telangana 502248, India",Srinivas Brick suppliers,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9849996544,,https://maps.app.goo.gl/hjq2dTVZJzQehqQ96,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Medak,"Shalipet, Telangana 502113, India",DMi bricks medak,,Unknown,Unknown,Unknown,Traditional Clay Factory,Unknown,,,,Permanently Closed,False,False,False,False,0,0,False,Tier 4 — Unknown
Medak,"Roopla thanda, shivampet(mdl, Narsapur, Telangana 502316, India",SRI LAXMI MRK BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9989836762,,https://maps.app.goo.gl/g7GCC8aVLbjEZiX96,Running,False,True,False,True,1,2,True,Tier 3 — Hand Made
Medak,"Road, Markandeya Nagar Colony, Nizampur, Sadashivpet, Telangana 502291, India",KMB Bricks Field,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9440030136,,https://maps.app.goo.gl/qkcxuFxH8BPH85zd6,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Medak,"HATNOORA, VILLAGE, NAVABPETA, ROAD, Sangareddy, Telangana 502296, India",Bondada ECOBuild Pvt Ltd - AAC Block Division,Manufacturing,Hand Made,Fly Ash Brick,Standard Block,Fully Automatic Fly Ash Brick Plant,Large,,https://bondadaecobuild.com/,https://maps.app.goo.gl/3My3HpDDDoDJWouJ6,Running,True,False,True,True,1,3,False,Tier 3 — Hand Made
Medak,"P7WQ+JP, Sitarampur, Telangana 502313, India",Shivam cement works & Bricks,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Wall",Fly Ash Brick Plant,Large,,,https://maps.app.goo.gl/doqRRd19waBkHvie8,Running,False,False,True,True,1,3,False,Tier 3 — Hand Made
Medak,"Ismailkhanpet, Telangana 502329, India",KBS BRICKS,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,9989960111,,https://maps.app.goo.gl/9SUbmHs1Reix9U237,Running,False,True,False,True,0,0,False,Tier 4 — Unknown
Adilabad,"Belluri vilage, Near, chanda bridge, Adilabad, Telangana 504002, India",Sunrise Cement Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash Block, Interlocking Block",Fully Automatic Fly Ash Brick Plant,Large,7981322210,,https://maps.app.goo.gl/dm8tx6C6M2QYMK5fA,Running,False,True,True,True,2,3,False,Tier 2 — Semi Automatic
Adilabad,"Nagpur Rd, Tirupally, Adilabad, Telangana 504001, India",Prime cement flyash bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/6aFguFuMB6LqPQvf9,Running,False,False,True,True,1,1,False,Tier 3 — Hand Made
Adilabad,"Hp gas road, Tirupally, Adilabad, Telangana 504001, India",Primebricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/5gaXn7u416QPkDvt7,Temporarily Closed,False,False,True,False,1,1,False,Tier 3 — Hand Made
Kumuram Bheem Asifabad,"Kouthala, Telangana 504299, India",Gupta FlYash Bricks.,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/MDxDvE6JeVUEED7f6,Running,False,False,True,True,2,2,False,Tier 2 — Semi Automatic
Kumuram Bheem Asifabad,"Nerpalle, Telangana 504292, India",PMB Bricks,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://maps.app.goo.gl/UsZko5DiQUCt8NCW7,Running,False,False,False,True,0,0,False,Tier 4 — Unknown
Kumuram Bheem Asifabad,"Khairgaon, Telangana 504292, India",AVS INTERLOCKING BRICKS,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Interlocking Block,Fully Automatic Fly Ash Brick Plant,Large,,,https://maps.app.goo.gl/McXv85Bd2tWywQZaA,Running,False,False,True,True,3,3,False,Tier 1 — Fully Automatic
