Districts,Location,Founder,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status
Medak,"Ambjipet, Shankarampet (R), Medak, Telangana 502248, India",Srinivas,Srinivas Brick suppliers,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9849996544,Not Specified,https://maps.app.goo.gl/hjq2dTVZJzQehqQ96,Running
Medak,"Shalipet, Telangana 502113, India",Not Specified,DMi bricks medak,Not Specified,Not Specified,Not Specified,Not Specified,Traditional Clay Factory,Not Specified,Not Specified,Not Specified,Not Specified,permanently closed
Medak,"Roopla thanda, shivampet(mdl, Narsapur, Telangana 502316, India",Not Specified,SRI LAXMI MRK BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,9989836762,Not Specified,https://maps.app.goo.gl/g7GCC8aVLbjEZiX96,Running
Medak,"Road, Markandeya Nagar Colony, Nizampur, Sadashivpet, Telangana 502291, India",Not Specified,KMB Bricks Field,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9440030136,Not Specified,https://maps.app.goo.gl/qkcxuFxH8BPH85zd6,Running
Medak,"HATNOORA, VILLAGE, NAVABPETA, ROAD, Sangareddy, Telangana 502296, India",Not Specified,Bondada ECOBuild Pvt Ltd - AAC Block Division,Manufacturing,Hand Made,Fly Ash Brick,Standard Block,Fully Automatic Fly Ash Brick Plant,Large,Not Specified,https://bondadaecobuild.com/,https://maps.app.goo.gl/3My3HpDDDoDJWouJ6,Running
Medak,"P7WQ+JP, Sitarampur, Telangana 502313, India",Not Specified,Shivam cement works & Bricks,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Wall",Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/doqRRd19waBkHvie8,Running
Medak,"Ismailkhanpet, Telangana 502329, India",Not Specified,KBS BRICKS,Manufacturing,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9989960111,Not Specified,https://maps.app.goo.gl/9SUbmHs1Reix9U237,Running
Adilabad,"Belluri vilage, Near, chanda bridge, Adilabad, Telangana 504002, India",Not Specified,Sunrise Cement Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash Block, Interlocking Block",Fully Automatic Fly Ash Brick Plant,Large,7981322210,Not Specified,https://maps.app.goo.gl/dm8tx6C6M2QYMK5fA,Running
Adilabad,"Nagpur Rd, Tirupally, Adilabad, Telangana 504001, India",Not Specified,Prime cement flyash bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/6aFguFuMB6LqPQvf9,Running
Adilabad,"Hp gas road, Tirupally, Adilabad, Telangana 504001, India",Not Specified,Primebricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/5gaXn7u416QPkDvt7,Temporarily Closed
